sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Aditya,,Morning everyone.,Information,
2,1,Aditya,,Let's start with weekly updates.,Information,
3,2,Sneha,,Operations have been smooth except for delayed vendor payments.,Information,
4,3,Aditya,,Any reason?,Discussion,
5,4,Sneha,,Finance approvals took longer than expected.,Information,
6,5,Aman,,"Product-wise, we've released the new dashboard.",Information,
7,5,Aman,,Users are responding positively.,Information,
8,6,Ishita,,"Yes, although several users requested export-to-PDF functionality.",Information,
9,7,Aditya,,Is that technically feasible?,Discussion,
10,8,Aman,,"Yes, probably within the next sprint.",Discussion,
11,9,Sneha,,Customer support tickets also decreased by around 18% this week.,Information,
12,10,Aditya,,That's encouraging.,Discussion,
13,11,Ishita,,Most remaining tickets are feature requests rather than bugs.,Information,
14,12,Aditya,,Excellent.,Discussion,
15,13,Let's prioritize,,Export to PDF.,Action_Item,
16,13,Let's prioritize,,Mobile optimization.,Action_Item,
17,13,Let's prioritize,,Analytics improvements.,Action_Item,
18,13,Let's prioritize,,Meeting concluded after 28 minutes.,Summary,
