sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Aarav,36005,"Good morning, everyone.",Information,
2,2,Neha,36010,Morning.,Information,
3,3,Rahul,36012,Good morning.,Information,
4,4,Priya,36015,"Morning, everyone.",Information,
5,5,Ananya,36020,"Hi, everyone.",Information,
6,6,Aarav,36030,Let's begin.,Information,
7,6,Aarav,36030,Today's objective is to review the progress from last week's sprint and finalize the tasks for the upcoming release.,Information,
8,7,Rahul,36055,"From the backend side, the transcript upload API has been completed.",Information,
9,7,Rahul,36055,We also fixed the authentication issue that users reported last week.,Information,
10,8,Aarav,36084,That's great.,Discussion,
11,8,Aarav,36084,Were all the reported bugs resolved?,Discussion,
12,9,Rahul,36095,Almost all of them.,Information,
13,9,Rahul,36095,Two edge cases related to large file uploads are still pending.,Information,
14,10,Aarav,36118,"Okay, we'll come back to those.",Decision,
15,11,Neha,36135,The meeting summarization model is performing better after the latest prompt optimization.,Information,
16,11,Neha,36135,Accuracy has improved during our internal evaluation.,Information,
17,12,Aarav,36167,Did you test it on longer meeting transcripts?,Discussion,
18,13,Neha,36178,Yes.,Information,
19,13,Neha,36178,"Meetings up to thirty minutes are working well, but summaries become slightly inconsistent for recordings longer than an hour.",Information,
20,14,Priya,36215,Would chunking the transcript help?,Discussion,
21,15,Neha,36229,"Yes, that's exactly what we're planning to test this week.",Action_Item,
22,16,Aarav,36260,Good suggestion.,Discussion,
23,17,Ananya,36270,"From the QA side, we've completed testing on Chrome and Edge browsers.",Information,
24,18,Aarav,36295,Any issues?,Discussion,
25,19,Ananya,36302,Nothing major.,Information,
26,19,Ananya,36302,We noticed a small formatting issue in exported PDF reports.,Information,
27,20,Priya,36328,I can fix that today.,Action_Item,
28,21,Aarav,36340,Perfect.,Discussion,
29,22,Priya,36365,The dashboard redesign is almost complete.,Information,
30,22,Priya,36365,I added a cleaner transcript viewer and improved the navigation menu.,Information,
31,23,Rahul,36400,I saw the latest build yesterday.,Information,
32,23,Rahul,36400,It definitely feels much smoother.,Discussion,
33,24,Aarav,36425,Can we deploy the UI changes before Friday?,Discussion,
34,25,Priya,36440,"Yes, provided no new bugs are found.",Decision,
35,26,Ananya,36462,I'll finish regression testing by Thursday evening.,Action_Item,
36,27,Aarav,36495,Excellent.,Discussion,
37,28,Rahul,36510,I also think we should optimize transcript loading because larger meetings take several seconds to open.,Discussion,
38,29,Neha,36538,That's true.,Discussion,
39,29,Neha,36538,We can implement lazy loading for transcript sections.,Discussion,
40,30,Priya,36560,That should also improve scrolling performance.,Discussion,
41,31,Aarav,36585,Let's include that in this sprint.,Decision,
42,32,Aarav,36615,Any updates regarding multilingual support?,Discussion,
43,33,Neha,36635,We've started testing English-Hindi mixed conversations.,Information,
44,34,Rahul,36658,"Initial results look promising, although speaker separation still struggles when multiple people interrupt each other.",Information,
45,35,Ananya,36700,I'll include those cases in the next testing cycle.,Action_Item,
46,36,Aarav,36730,Good.,Discussion,
47,37,Priya,36745,Can we also add a dark mode option in the next release?,Discussion,
48,38,Rahul,36768,I'd recommend postponing it until after the performance improvements.,Discussion,
49,39,Neha,36795,I agree.,Discussion,
50,39,Neha,36795,Performance should be our priority.,Discussion,
51,40,Aarav,36815,Alright.,Decision,
52,40,Aarav,36815,We'll move dark mode to the next sprint.,Decision,
53,41,Aarav,36860,Let's assign responsibilities.,Decision,
54,42,Rahul,36875,I'll optimize the transcript loading performance.,Action_Item,
55,43,Priya,36898,I'll fix the PDF formatting issue and complete the dashboard redesign.,Action_Item,
56,44,Neha,36928,I'll continue testing transcript chunking and multilingual summarization.,Action_Item,
57,45,Ananya,36955,I'll complete regression testing and prepare the QA report.,Action_Item,
58,46,Aarav,36985,Perfect.,Discussion,
59,47,Aarav,37000,Let's target Friday evening for code freeze.,Decision,
60,48,Rahul,37018,That works for me.,Decision,
61,49,Priya,37028,Same here.,Decision,
62,50,Neha,37035,No issues from my side.,Information,
63,51,Ananya,37045,Works for QA as well.,Decision,
64,52,Aarav,37070,"Before we close, does anyone have any additional concerns?",Discussion,
65,53,Rahul,37090,Nothing from my side.,Information,
66,54,Priya,37098,All good.,Information,
67,55,Neha,37105,No additional updates.,Information,
68,56,Ananya,37120,Everything is covered.,Information,
69,57,Aarav,37145,Great.,Summary,
70,57,Aarav,37145,"Thanks, everyone.",Summary,
71,57,Aarav,37145,We'll meet again next Monday to review the sprint outcomes.,Action_Item,
72,58,Rahul,37165,Thank you.,Summary,
73,59,Priya,37170,"Thanks, everyone.",Summary,
74,60,Neha,37176,See you next week.,Summary,
75,61,Ananya,37185,Bye.,Summary,
76,62,Aarav,37195,Meeting adjourned.,Summary,
