sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Rohan,39608,Good morning.,Information,
2,2,Simran,39620,Thanks everyone for joining.,Information,
3,3,Rohan,39640,We want users to receive meeting summaries automatically by email.,Information,
4,4,Kunal,39665,That's technically possible.,Information,
5,5,Sneha,39685,Should users be able to customize the email template?,Discussion,
6,6,Rohan,39710,"Yes, customization would be useful.",Decision,
7,7,Simran,39740,Should summaries also include action items?,Discussion,
8,8,Rohan,39765,Definitely.,Decision,
9,9,Kunal,39785,We can also attach the transcript as a PDF.,Discussion,
10,10,Sneha,39810,That would improve usability.,Discussion,
11,11,Simran,39840,Do we need multilingual support?,Discussion,
12,12,Rohan,39860,Not in Phase 1.,Decision,
13,13,Simran,39885,"Okay, multilingual support will be moved to the next release.",Decision,
14,14,Kunal,39915,I'll implement automatic email delivery.,Action_Item,
15,15,Sneha,39938,I'll design the email template.,Action_Item,
16,16,Simran,39960,I'll prepare the requirement document.,Action_Item,
17,17,Rohan,39995,Perfect.,Summary,
18,18,Simran,40015,Today's decisions are finalized.,Summary,
19,19,Simran,40030,Meeting closed.,Summary,
