sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Date,,24 July 2026 Participants Aarav (Project Manager) Neha (ML Engineer) Rahul (Backend Developer) Priya (Frontend Developer) Ananya (QA Engineer),Information,
2,2,Aarav,32405,Good morning everyone.,Information,
3,3,Priya,32412,Morning.,Information,
4,4,Rahul,32418,Good morning.,Information,
5,5,Aarav,32425,Today's goal is to finalize the feature list for Sprint 4.,Information,
6,6,Neha,32450,The meeting summarization model has reached 91% evaluation accuracy.,Information,
7,7,Rahul,32475,The export APIs are also ready.,Information,
8,8,Aarav,32500,Are there any blockers before release?,Discussion,
9,9,Priya,32525,The PDF export layout still needs some polishing.,Information,
10,10,Ananya,32560,QA also found two UI alignment issues.,Information,
11,11,Aarav,32585,Can both be fixed by tomorrow?,Discussion,
12,12,Priya,32600,Yes.,Decision,
13,13,Ananya,32615,"Yes, I'll verify everything once the fixes are merged.",Action_Item,
14,14,Rahul,32640,I think transcript loading is still slightly slow.,Discussion,
15,15,Neha,32665,Lazy loading should solve that.,Discussion,
16,16,Aarav,32695,"Okay, we'll implement lazy loading in this sprint.",Decision,
17,17,Priya,32720,Should dark mode remain in this release?,Discussion,
18,18,Rahul,32745,I'd postpone it.,Discussion,
19,19,Neha,32770,I agree.,Decision,
20,20,Aarav,32785,Then dark mode moves to Sprint 5.,Decision,
21,21,Aarav,32815,Rahul will finish lazy loading.,Action_Item,
22,22,Rahul,32832,Sure.,Decision,
23,23,Aarav,32845,Priya will complete PDF improvements.,Action_Item,
24,24,Priya,32862,Done.,Decision,
25,25,Aarav,32875,Ananya will complete regression testing.,Action_Item,
26,26,Ananya,32892,I'll finish it by tomorrow evening.,Action_Item,
27,27,Aarav,32915,Let's summarize today's meeting.,Summary,
28,28,Aarav,32930,Feature list finalized.,Summary,
29,29,Aarav,32940,Dark mode postponed.,Summary,
30,30,Aarav,32950,Performance optimization added to Sprint 4.,Summary,
31,31,Aarav,32965,Meeting adjourned.,Summary,
