sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Vivek,,I've collected around 200 meeting transcripts.,Information,
2,2,Sana,,Are they cleaned?,Discussion,
3,3,Vivek,,Not completely.,Information,
4,3,Vivek,,Some still have filler words and timestamps.,Information,
5,4,Rohit,,"Actually, I think we should keep some filler words.",Discussion,
6,4,Rohit,,Real meetings aren't perfectly structured.,Discussion,
7,5,Ananya,,Exactly.,Discussion,
8,5,Ananya,,It'll help the model generalize better.,Information,
9,5,Ananya,,[3:06 PM] Sana: What about the output format?,Discussion,
10,7,I'm thinking,,Summary Key Decisions Action Items Participants,Discussion,
11,8,Ananya,,Sounds good.,Decision,
12,9,Vivek,,Should we fine-tune an existing model or use prompt engineering?,Discussion,
13,10,Rohit,,Initially prompt engineering.,Decision,
14,11,Sana,,Then later fine-tuning if needed.,Decision,
15,11,Sana,,[3:15 PM] Ananya: Dataset size?,Discussion,
16,12,Vivek,,"Currently around 90,000 words.",Information,
17,13,Ananya,,Let's target at least 300 transcripts.,Decision,
18,14,Everyone,,Agreed.,Decision,
