sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Riya,,Thanks for joining everyone.,Information,
2,1,Riya,,"We're less than a month away from the tech fest, so today we need to lock the major responsibilities.",Information,
3,2,Karan,,"The auditorium booking is confirmed, but we still don't have approval for the seminar hall.",Information,
4,3,Mehul,,Does that affect the coding competition?,Discussion,
5,4,Karan,,Slightly.,Information,
6,4,Karan,,"If we don't get the seminar hall, we'll have to use two classrooms instead.",Discussion,
7,5,Simran,,"That's manageable, but we'll need to update the promotional posters.",Action_Item,
8,6,Riya,,Okay.,Discussion,
9,6,Riya,,What about sponsors?,Discussion,
10,7,Mehul,,I've spoken with four companies.,Information,
11,7,Mehul,,Two have already shown interest.,Information,
12,7,Mehul,,One of them wants branding on stage and social media mentions.,Information,
13,8,Simran,,That's reasonable.,Discussion,
14,8,Simran,,We usually offer that in our Gold Sponsor package.,Information,
15,9,Riya,,Great.,Discussion,
16,9,Riya,,Let's proceed.,Decision,
17,10,Karan,,We also need volunteers.,Information,
18,10,Karan,,Right now we only have 18 registrations.,Information,
19,11,Riya,,We need at least 35.,Decision,
20,12,Simran,,I'll post another recruitment announcement tonight.,Action_Item,
21,13,Mehul,,One more thing.,Discussion,
22,13,Mehul,,Should we arrange participant certificates digitally or printed?,Discussion,
23,14,Karan,,Digital would save both time and budget.,Discussion,
24,15,Riya,,Agreed.,Decision,
